term,chapter_file,similarity,category,decision,action,rationale,status
immutable place expression context,expressions.rst,0.522,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
in scope,entities-and-resolution.rst,0.535,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
object safe,types-and-traits.rst,0.545,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
unsized type,types-and-traits.rst,0.549,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
sized type,types-and-traits.rst,0.557,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
continue expression,expressions.rst,0.564,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
unsized coercion,types-and-traits.rst,0.564,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
multiplication assignment,expressions.rst,0.571,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
drop scope,ownership-and-deconstruction.rst,0.574,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
constrain,generics.rst,0.583,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
type inference,types-and-traits.rst,0.583,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
where clause,generics.rst,0.599,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
abi,ffi.rst,0.6,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
addition assignment,expressions.rst,0.6,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
async block,expressions.rst,0.6,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
unsafe block,expressions.rst,0.6,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
crate root,program-structure-and-compilation.rst,0.607,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
type coercion,types-and-traits.rst,0.612,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
built-in trait,types-and-traits.rst,0.619,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
bit and assignment,expressions.rst,0.621,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
bit or assignment,expressions.rst,0.621,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
bit xor assignment,expressions.rst,0.621,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
arithmetic overflow,expressions.rst,0.626,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
compound assignment,expressions.rst,0.643,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
division assignment,expressions.rst,0.643,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
local variable,values.rst,0.643,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
remainder assignment,expressions.rst,0.643,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
shift left assignment,expressions.rst,0.643,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
shift right assignment,expressions.rst,0.643,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
subtraction assignment,expressions.rst,0.643,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
while let loop,expressions.rst,0.643,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
while loop,expressions.rst,0.643,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
call site hygiene,macros.rst,0.65,significant_reword,tooling-artifact,recorded list-item extraction artifact; no checker normalization change required in this run,phase2 strict mismatch report is empty after targeted harmonization; prior divergence is attributable to extraction context,resolved
source file,program-structure-and-compilation.rst,0.653,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
default representation,types-and-traits.rst,0.667,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
capturing environment,expressions.rst,0.673,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
data race,concurrency.rst,0.696,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
signed integer type,types-and-traits.rst,0.696,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
hygiene,macros.rst,0.698,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
irrefutable pattern,patterns.rst,0.7,significant_reword,chapter_wins,harmonized definitions on phase2 branch and validated with strict mismatch gate,feedback low-confidence divergence no longer appears in current strict mismatch report,resolved
overlap,values.rst,0.269,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
reference,ownership-and-deconstruction.rst,0.339,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
type representation,types-and-traits.rst,0.354,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
dereference type chain,entities-and-resolution.rst,0.4,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
atomic type,concurrency.rst,0.484,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
constant expression,expressions.rst,0.497,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
self public modifier,entities-and-resolution.rst,0.52,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
scope hierarchy,entities-and-resolution.rst,0.527,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
super public modifier,entities-and-resolution.rst,0.656,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
procedural macro,macros.rst,0.667,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
macro,macros.rst,0.684,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
value expression,expressions.rst,0.693,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
explicitly declared entity,entities-and-resolution.rst,0.699,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
unary operator,expressions.rst,0.706,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
glob import,entities-and-resolution.rst,0.709,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
drop construct,ownership-and-deconstruction.rst,0.713,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
binary operator,expressions.rst,0.717,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
constant context,expressions.rst,0.719,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
indexing operand,expressions.rst,0.723,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
derive macro,macros.rst,0.742,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
struct field,types-and-traits.rst,0.745,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
size,types-and-traits.rst,0.746,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
scope,entities-and-resolution.rst,0.754,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
simple path,entities-and-resolution.rst,0.755,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
arity,types-and-traits.rst,0.759,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
size operand,types-and-traits.rst,0.761,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
implicit borrow,ownership-and-deconstruction.rst,0.762,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
implicitly declared entity,entities-and-resolution.rst,0.766,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
path segment,entities-and-resolution.rst,0.772,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
unsafe trait,types-and-traits.rst,0.775,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
raw pointer type,types-and-traits.rst,0.779,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
immutable place expression,expressions.rst,0.78,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
function-like macro,macros.rst,0.781,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
visibility modifier,entities-and-resolution.rst,0.787,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
arithmetic operator,expressions.rst,0.788,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
struct,types-and-traits.rst,0.788,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
assignee expression,expressions.rst,0.79,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
use capture,types-and-traits.rst,0.792,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
place expression,expressions.rst,0.793,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
attribute macro,macros.rst,0.796,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
mutable place expression,expressions.rst,0.803,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
unify,types-and-traits.rst,0.803,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
mutable static,values.rst,0.804,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
block expression,expressions.rst,0.805,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
async function,functions.rst,0.809,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
path expression,expressions.rst,0.812,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
mutable place expression context,expressions.rst,0.818,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
receiver type,entities-and-resolution.rst,0.821,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
c representation,types-and-traits.rst,0.831,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
indexed operand,expressions.rst,0.833,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
anonymous return type,types-and-traits.rst,0.835,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
parenthesized expression,expressions.rst,0.835,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
operand,expressions.rst,0.846,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
await expression,expressions.rst,0.849,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
mixed site hygiene,macros.rst,0.853,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
sequence type,types-and-traits.rst,0.857,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
unsafe operation,unsafety.rst,0.866,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
constant,values.rst,0.87,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
conditionally-compiled source code,program-structure-and-compilation.rst,0.871,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
return expression,expressions.rst,0.873,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
register expression,inline-assembly.rst,0.875,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
unsafe function,functions.rst,0.876,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
higher-ranked trait bound,types-and-traits.rst,0.877,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
separator,lexical-elements.rst,0.879,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
compilation root,program-structure-and-compilation.rst,0.885,extended,chapter_wins,keep chapter definition as canonical and preserve glossary compatibility wording,chapter text intentionally provides additional normative precision,resolved
definition site hygiene,macros.rst,0.885,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
subpattern,patterns.rst,0.889,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
generic parameter,generics.rst,0.891,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
return type,functions.rst,0.894,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
type inference root,types-and-traits.rst,0.897,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
[unifiable type]s,types-and-traits.rst,0.899,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
call resolution,entities-and-resolution.rst,0.9,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
static lifetime elision,types-and-traits.rst,0.9,moderate_divergence,merge-both,retain semantically equivalent chapter precision and glossary phrasing alignment on phase2 branch,moderate divergence bucket treated as wording harmonization; no remaining strict mismatches,resolved
elided,types-and-traits.rst,,chapter_redirect,glossary_wins,preserve redirect/alias semantics and keep canonical target wording,redirect style is intentional aliasing and not semantic drift,resolved
for loop,expressions.rst,,chapter_redirect,glossary_wins,preserve redirect/alias semantics and keep canonical target wording,redirect style is intentional aliasing and not semantic drift,resolved
infinite loop,expressions.rst,,chapter_redirect,glossary_wins,preserve redirect/alias semantics and keep canonical target wording,redirect style is intentional aliasing and not semantic drift,resolved
loop,expressions.rst,,chapter_redirect,glossary_wins,preserve redirect/alias semantics and keep canonical target wording,redirect style is intentional aliasing and not semantic drift,resolved
range-full expression,expressions.rst,,chapter_redirect,glossary_wins,preserve redirect/alias semantics and keep canonical target wording,redirect style is intentional aliasing and not semantic drift,resolved
unsafe rust,unsafety.rst,,chapter_redirect,glossary_wins,preserve redirect/alias semantics and keep canonical target wording,redirect style is intentional aliasing and not semantic drift,resolved
