checklist_id,term,wave,source_set,baseline_file,baseline_line,baseline_dp_id,baseline_section,baseline_commit,first_use_file,first_use_line,recommended_file,recommended_section,placement_priority,placement_fitness_rating,divergence_match_category,divergence_reliability,divergence_similarity,before_evidence_ref,action_type,decision_detail,reason_code,reason_why,reason_quality,semantic_change_flag,review_attention,after_file,after_line,after_dp_id,after_section,after_commit,after_evidence_ref,phase1_status,final_quality,batch_id,quarantine_status,quarantine_reason,notes
WA-013,crate,WA,v2-foundational,macros.rst,316,fls_pcce9gmjpxba,Procedural Macros,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,53,program-structure-and-compilation.rst,Crates,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=crate,retain+rewrite,Retained Procedural Macros rule and rewrote :dt:`crate` to :t:`crate` so the requirement references the canonical concept instead of redefining it.,retain-link-mitigated,"Before macros.rst:316 (fls_pcce9gmjpxba) used :dt:`crate` inside a constraint on procedural macros, which is a reference context and not conceptual ownership. After the same anchor uses :t:`crate`, discoverability improves while the proc-macro requirement remains identical.",pass,clarification-only,required,macros.rst,316,fls_pcce9gmjpxba,Procedural Macros,52f1285682360265eb49061c6a00755cc6ae96c0,src/macros.rst:316,completed,resolved-high,batch-001,,,
WA-014,module,WA,v2-foundational,program-structure-and-compilation.rst,73,fls_odd1hj3y1mgu,Modules,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,735,entities-and-resolution.rst,Visibility,low_forward_ref,acceptable_at_home,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=module,retain+rewrite,Retained Modules paragraph and rewrote :dt:`module` to :t:`module` to keep one canonical definition path and use this chapter line as linked explanatory text.,retain-link-mitigated,"Before program-structure-and-compilation.rst:73 (fls_odd1hj3y1mgu) presented :dt:`module` in chapter prose, competing with canonical glossary ownership for a foundational term. After the same anchor uses :t:`module`, preserving readability and improving discoverability with no Rust 2021 semantic shift.",pass,clarification-only,required,program-structure-and-compilation.rst,73,fls_odd1hj3y1mgu,Modules,52f1285682360265eb49061c6a00755cc6ae96c0,src/program-structure-and-compilation.rst:73,completed,resolved-high,batch-001,,,
WA-015,statement,WA,v2-foundational,macros.rst,552,fls_6v06zvi1ctub,Macro Invocation,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,656,statements.rst,Statements,medium,questionable,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=statement,retain+rewrite,"Retained Macro Invocation paragraph and rewrote :dt:`statement` to :t:`statement` because this is a usage eligibility rule, not a definition site.",retain-link-mitigated,"Before macros.rst:552 (fls_6v06zvi1ctub) used :dt:`statement` in a permissibility sentence, which weakened canonical ownership and linkage consistency. After the same anchor uses :t:`statement`, discoverability is improved and macro invocation semantics are unchanged.",pass,clarification-only,required,macros.rst,552,fls_6v06zvi1ctub,Macro Invocation,52f1285682360265eb49061c6a00755cc6ae96c0,src/macros.rst:552,completed,resolved-high,batch-001,,,
WB-001,field list,WB,v2-placement-priority,types-and-traits.rst,772,fls_YERnNZiSdCRn,Enum Types,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,658,expressions.rst,Path Expressions,high,poor,cosmetic,high,,inputs/fls-pr6-placement-fitness-v2.json:term=field list,retain+rewrite,Retained the Enum Types paragraph and rewrote :dt:`field list` to :t:`field list` so this sentence references the canonical term instead of redefining it in local prose.,retain-link-mitigated,"Before types-and-traits.rst:772 (fls_YERnNZiSdCRn) used :dt:`field list` in explanatory text, which diluted canonical ownership and discoverability. After types-and-traits.rst:771 keeps the same anchor and context but uses :t:`field list`, improving glossary linkage with no Rust 2021 semantic change.",pass,clarification-only,required,types-and-traits.rst,771,fls_YERnNZiSdCRn,Enum Types,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/types-and-traits.rst:771,completed,resolved-high,batch-002,,,
WB-002,type specification,WB,v2-placement-priority,entities-and-resolution.rst,759,fls_9k9hourczbv7,Scope Hierarchy,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,355,macros.rst,Function-like Macros,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=type specification,retain+rewrite,Retained the Scope Hierarchy paragraph and rewrote :dt:`type specification` to :t:`type specification` because this line uses the concept but is not its canonical owner.,retain-link-mitigated,"Before entities-and-resolution.rst:759 (fls_9k9hourczbv7) marked a usage as :dt:`type specification`, creating competing ownership. After entities-and-resolution.rst:758 keeps first-use readability while using :t:`type specification` to improve discoverability with clarification-only impact.",pass,clarification-only,required,entities-and-resolution.rst,758,fls_9k9hourczbv7,Scope Hierarchy,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/entities-and-resolution.rst:758,completed,resolved-high,batch-002,,,
WB-003,concrete type,WB,v2-placement-priority,attributes.rst,1711,fls_61vt1r8g51nh,Attribute ``type_length_limit``,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,56,types-and-traits.rst,Types,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=concrete type,retain+rewrite,Retained the type_length_limit rule and rewrote :dt:`concrete type` to :t:`concrete type` so this constraint references the canonical concept rather than redefining it.,retain-link-mitigated,"Before attributes.rst:1711 (fls_61vt1r8g51nh) used :dt:`concrete type` in an operational constraint, reducing ownership clarity. After attributes.rst:1708 uses :t:`concrete type`, improving link discoverability and preserving the same Rust 2021 rule behavior.",pass,clarification-only,required,attributes.rst,1708,fls_61vt1r8g51nh,Attribute ``type_length_limit``,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/attributes.rst:1708,completed,resolved-high,batch-002,,,
WB-004,generic function,WB,v2-placement-priority,values.rst,168,fls_mt94jvoot9dx,Statics,19e75856eac5694e5d613c7c59b429848d333992,generics.rst,62,generics.rst,Generic Parameters,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=generic function,retain+rewrite,Retained the Statics paragraph and rewrote :dt:`generic function` to :t:`generic function` because the sentence constrains statics and references this concept.,retain-link-mitigated,"Before values.rst:168 (fls_mt94jvoot9dx) used :dt:`generic function` in a usage context, weakening conceptual ownership. After values.rst:167 keeps the same anchor but uses :t:`generic function`, improving discoverability without any normative Rust 2021 change.",pass,clarification-only,required,values.rst,167,fls_mt94jvoot9dx,Statics,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/values.rst:167,completed,resolved-high,batch-002,,,
WB-005,variable,WB,v2-placement-priority,ownership-and-deconstruction.rst,40,fls_hl5tnd9yy252,Initialization,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,147,macros.rst,Metavariables,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=variable,retain+rewrite,Retained the Initialization paragraph and rewrote :dt:`variable` to :t:`variable` so the sentence references the canonical term while preserving local explanatory text.,retain-link-mitigated,"Before ownership-and-deconstruction.rst:40 (fls_hl5tnd9yy252) used :dt:`variable` in reference-style prose, creating redundant ownership signals. After ownership-and-deconstruction.rst:39 uses :t:`variable`, improving glossary discoverability with no semantic impact.",pass,clarification-only,required,ownership-and-deconstruction.rst,39,fls_hl5tnd9yy252,Initialization,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/ownership-and-deconstruction.rst:39,completed,resolved-high,batch-002,,,
WB-006,container operand,WB,v2-placement-priority,entities-and-resolution.rst,1284,fls_j1bip4w30q8,Field Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,456,expressions.rst,Place Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=container operand,retain+rewrite,Retained the Field Resolution rule and rewrote :dt:`container operand` to :t:`container operand` because this clause applies the concept and does not canonically define it.,retain-link-mitigated,"Before entities-and-resolution.rst:1284 (fls_j1bip4w30q8) used :dt:`container operand` inside a resolution rule, diluting ownership. After entities-and-resolution.rst:1283 uses :t:`container operand`, improving discoverability and keeping field resolution semantics unchanged.",pass,clarification-only,required,entities-and-resolution.rst,1283,fls_j1bip4w30q8,Field Resolution,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/entities-and-resolution.rst:1283,completed,resolved-high,batch-002,,,
WB-007,undefined behavior,WB,v2-placement-priority,unsafety.rst,14,fls_r1m7v4k2t9pa,Unsafety,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,348,types-and-traits.rst,Bool Type,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=undefined behavior,retain+rewrite,Retained the Unsafety opening rule and rewrote :dt:`Undefined behavior` to :t:`Undefined behavior` to keep canonical ownership and make this clause an explicit reference.,retain-link-mitigated,"Before unsafety.rst:14 (fls_r1m7v4k2t9pa) used :dt:`Undefined behavior` in introductory prose, producing duplicate ownership. After unsafety.rst:13 keeps the same anchor but uses :t:`Undefined behavior`, improving linkage with clarification-only effect.",pass,clarification-only,required,unsafety.rst,13,fls_r1m7v4k2t9pa,Unsafety,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/unsafety.rst:13,completed,resolved-high,batch-002,,,
WB-008,code point,WB,v2-placement-priority,expressions.rst,2241,fls_4h2v3pk7qz6n,Type Cast Expressions,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,34,lexical-elements.rst,Character Set,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=code point,retain,Retained Character Set placement because this anchor already uses :t:`code point` and remains a discoverable conceptual owner reference without additional rewrite.,no-change-not-mislocated,"Before expressions.rst:2241 (fls_4h2v3pk7qz6n) was flagged, but manual review confirmed the active anchor is lexical-elements.rst:33 with :t:`code point` and already supports ownership and discoverability. After lexical-elements.rst:33 remains unchanged with no Rust 2021 semantic change.",pass,none,none,lexical-elements.rst,33,fls_4h2v3pk7qz6n,Character Set,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/lexical-elements.rst:33,completed,resolved-high,batch-002,,,
WB-009,receiver operand,WB,v2-placement-priority,entities-and-resolution.rst,1372,fls_mbdS0xiNlj92,Method Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,3658,expressions.rst,Method Call Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=receiver operand,retain+rewrite,Retained the Method Resolution rule and rewrote :dt:`receiver operand` to :t:`receiver operand` because this sentence references a defined operand role.,retain-link-mitigated,"Before entities-and-resolution.rst:1372 (fls_mbdS0xiNlj92) used :dt:`receiver operand` in operational text, reducing canonical ownership clarity. After entities-and-resolution.rst:1371 uses :t:`receiver operand`, improving discoverability while preserving method resolution behavior.",pass,clarification-only,required,entities-and-resolution.rst,1371,fls_mbdS0xiNlj92,Method Resolution,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/entities-and-resolution.rst:1371,completed,resolved-high,batch-002,,,
WB-010,associated constant,WB,v2-placement-priority,patterns.rst,379,fls_5y6ae0xqux57,Path Patterns,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,309,expressions.rst,Constant Expressions,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=associated constant,retain+rewrite,Retained the Path Patterns paragraph and rewrote :dt:`associated constant` to :t:`associated constant` so it references the canonical associated item concept.,retain-link-mitigated,"Before patterns.rst:379 (fls_5y6ae0xqux57) marked :dt:`associated constant` in a usage clause, creating competing ownership. After patterns.rst:378 uses :t:`associated constant`, improving conceptual discoverability with no normative Rust 2021 change.",pass,clarification-only,required,patterns.rst,378,fls_5y6ae0xqux57,Path Patterns,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/patterns.rst:378,completed,resolved-high,batch-002,,,
WB-011,crate root module,WB,v2-placement-priority,entities-and-resolution.rst,973,fls_atvnwly4w8g2,Preludes,19e75856eac5694e5d613c7c59b429848d333992,entities-and-resolution.rst,1002,program-structure-and-compilation.rst,Compilation Roots,high,poor,inline_definition,medium,,inputs/fls-pr6-placement-fitness-v2.json:term=crate root module,retain+rewrite,Retained the External Prelude rule and rewrote :dt:`crate root module` to :t:`crate root module` so the prelude rule links to the canonical concept.,retain-link-mitigated,"Before entities-and-resolution.rst:973 (fls_atvnwly4w8g2) used :dt:`crate root module` inline, weakening ownership consistency. After entities-and-resolution.rst:971 uses :t:`crate root module`, improving link-based discoverability without changing prelude semantics.",pass,clarification-only,required,entities-and-resolution.rst,971,fls_atvnwly4w8g2,Preludes,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/entities-and-resolution.rst:971,completed,resolved-high,batch-002,,,
WB-012,associated trait function,WB,v2-placement-priority,implementations.rst,224,fls_qmhduwunxww0,Implementation Conformance,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,294,associated-items.rst,Associated Items,high,poor,moderate_divergence,medium,,inputs/fls-pr6-placement-fitness-v2.json:term=associated trait function,retain+rewrite,Retained Implementation Conformance wording and rewrote :dt:`associated trait function` to :t:`associated trait function` to keep conformance text as reference usage.,retain-link-mitigated,"Before implementations.rst:224 (fls_qmhduwunxww0) used :dt:`associated trait function` in a conformance condition, creating duplicate ownership. After implementations.rst:223 uses :t:`associated trait function`, improving discoverability with no Rust 2021 semantic shift.",pass,clarification-only,required,implementations.rst,223,fls_qmhduwunxww0,Implementation Conformance,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/implementations.rst:223,completed,resolved-high,batch-002,,,
WB-013,size,WB,v2-placement-priority,expressions.rst,2315,fls_1pbwigq6f3ha,Type Cast Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,2319,types-and-traits.rst,Type Layout,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=size,retain,Retained Type Layout placement because this anchor already uses :t:`size` and is conceptually owned by layout rules without requiring further rewrite.,no-change-not-mislocated,"Before expressions.rst:2315 (fls_1pbwigq6f3ha) was listed, but manual review found the active anchor at types-and-traits.rst:1640 already uses :t:`size` in the canonical layout context. After types-and-traits.rst:1640 is unchanged, preserving semantics and discoverability.",pass,none,none,types-and-traits.rst,1640,fls_1pbwigq6f3ha,Type Layout,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/types-and-traits.rst:1640,completed,resolved-high,batch-002,,,
WB-014,floating-point type,WB,v2-placement-priority,expressions.rst,1553,fls_xcUkEjuclTjp,Arithmetic Expressions,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,1061,lexical-elements.rst,Float Literals,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=floating-point type,retain,Retained Floating Point Types placement because this anchor already uses :t:`floating-point type` and does not need additional remediation for ownership.,no-change-not-mislocated,"Before expressions.rst:1553 (fls_xcUkEjuclTjp) was flagged, but manual review confirmed the active anchor at types-and-traits.rst:392 already uses :t:`floating-point type` in the conceptual owner section. After types-and-traits.rst:392 remains unchanged with no Rust 2021 semantic impact.",pass,none,none,types-and-traits.rst,392,fls_xcUkEjuclTjp,Floating Point Types,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/types-and-traits.rst:392,completed,resolved-high,batch-002,,,
WB-015,safety invariant,WB,v2-placement-priority,attributes.rst,874,fls_0tYMAQY1V55p,Attribute ``naked``,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,659,types-and-traits.rst,Str Type,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=safety invariant,retain+rewrite,Retained the naked undefined-behavior rule and rewrote :dt:`safety invariant` to :t:`safety invariant` to keep canonical ownership centralized.,retain-link-mitigated,"Before attributes.rst:874 (fls_0tYMAQY1V55p) used :dt:`safety invariant` in a local UB clause, which diluted ownership signals. After attributes.rst:873 uses :t:`safety invariant`, improving discoverability while keeping behavior unchanged.",pass,clarification-only,required,attributes.rst,873,fls_0tYMAQY1V55p,Attribute ``naked``,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/attributes.rst:873,completed,resolved-high,batch-002,,,
WB-016,unit struct,WB,v2-placement-priority,expressions.rst,658,fls_4q6m9t1w7zpa,Path Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,654,expressions.rst,Path Expressions,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=unit struct,retain+rewrite,Retained Path Expressions wording and rewrote :dt:`unit struct` to :t:`unit struct` so this sentence references the canonical term.,retain-link-mitigated,"Before expressions.rst:658 (fls_4q6m9t1w7zpa) used :dt:`unit struct` in explanatory prose, causing ownership duplication. After expressions.rst:657 uses :t:`unit struct`, improving linkage and preserving the same path-expression semantics.",pass,clarification-only,required,expressions.rst,657,fls_4q6m9t1w7zpa,Path Expressions,53f3c47e640dd222e0fd0014bd327bc50c60d84f,src/expressions.rst:657,completed,resolved-high,batch-002,,,
